site,alsum,random,aVrDif,temporal,aVtDiff,account,rccount,ticcount
rockandroadde,0.917401,0.882776,0.034624,0.904765,0.012636,90407.363636,65810.363636,80144.636364
romaomaticcom,0.968034,0.991929,-0.023894,0.991075,-0.023041,8690.571429,11664.785714,8395.928571
rosenfeldmediacom,0.767957,0.935946,-0.167989,0.681151,0.086806,18795.000000,9929.181818,18360.363636
rssowlorg,0.734653,0.993729,-0.259076,0.752412,-0.017759,3184.555556,1133.000000,3982.666667
rsssoftwarede,0.933677,0.933678,-0.000001,0.933678,-0.000001,324.000000,292.750000,315.812500
rubyforgeorg,0.254511,0.876791,-0.622280,0.503332,-0.248821,2085.777778,1553.888889,1928.444444
saleshoecom,0.740276,0.836825,-0.096549,0.659931,0.080345,4182.625000,4209.125000,3872.625000
sanfordblogspotcom,0.956436,0.948813,0.007623,0.956493,-0.000057,18898.181818,14716.727273,15555.272727
sautewednesdaycom,0.744636,0.984088,-0.239452,0.817024,-0.072388,13383.222222,39794.000000,35155.888889
scvngrmobi,0.484439,0.979823,-0.495384,0.979756,-0.495316,573.800000,398.600000,554.800000
stuartwebercom,0.604014,0.999333,-0.395318,0.604079,-0.000064,28867.500000,12631.833333,29526.500000
sudantimescom,0.813263,0.803587,0.009676,0.846585,-0.033322,38355.600000,47748.400000,49652.200000
surveillanceandsocietyorg,0.661482,0.836145,-0.174662,0.830035,-0.168553,15728.857143,25181.142857,17560.714286
swcazedu,0.647494,0.857752,-0.210258,0.665734,-0.018240,27014.142857,36196.785714,20724.357143
tavshilcoil,0.715731,0.761648,-0.045916,0.908581,-0.192850,26573.818182,21857.727273,17921.818182
telapakorg,0.916419,0.889765,0.026654,0.751092,0.165327,3032.312500,10646.187500,19818.000000
tendollarlogoscom,0.361768,0.608447,-0.246679,0.361768,0.000000,6449.000000,816.000000,6449.000000
thelastgringocom,0.663104,0.893116,-0.230012,0.859043,-0.195939,39146.250000,36927.833333,40012.416667
thetexastheatrecom,0.839976,0.946593,-0.106617,0.852403,-0.012427,73321.875000,78507.500000,84864.125000
threatcorecom,0.905913,0.902301,0.003612,0.894273,0.011640,21032.800000,26162.800000,27611.100000
trekradionet,0.522376,0.673443,-0.151067,0.494781,0.027595,112991.538462,111393.153846,87977.615385
ukraineusembassygov,0.988345,0.979912,0.008433,0.988715,-0.000370,50620.125000,59689.500000,20591.812500
uuccharlotteorg,0.811262,0.909031,-0.097768,0.901634,-0.090372,40733.333333,39796.166667,51842.166667
wahmblogpostiecom,0.891218,0.888755,0.002463,0.891370,-0.000151,12048.900000,6373.800000,5461.200000
wangulencom,0.547617,0.707924,-0.160307,0.625802,-0.078185,88613.000000,95240.000000,91378.857143
wcclinicalcom,0.687157,0.688076,-0.000919,0.688525,-0.001367,18928.700000,31665.400000,14288.000000
whalewatchneaqorg,0.999272,0.999489,-0.000217,0.999275,-0.000003,50663.666667,45148.666667,45846.888889
windandstarscom,0.600633,0.666672,-0.066039,1.000000,-0.399367,101.250000,98.500000,38.250000
yesonbinfo,0.290956,0.793218,-0.502261,0.798450,-0.507494,27310.625000,49005.000000,43620.687500
yourhomestagingtorstardigitalnet,0.564280,0.787669,-0.223389,0.667778,-0.103499,10381.538462,5235.384615,3818.000000
yuedujo,0.346423,0.652130,-0.305707,0.493748,-0.147325,22155.846154,30569.538462,16885.923077
zentexturescom,0.443658,0.784417,-0.340760,0.611931,-0.168274,56596.142857,56025.142857,46120.857143
